region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
london,2021-01-24,446.0100363366216,3901.9768757259108,0.07200000000000001,0.006
south east,2021-01-24,334.52439525173685,3904.27095239206,0.111,0.009000000000000001
south west,2021-01-24,237.71951408573904,4109.022069814973,0.12300000000000001,0.01
north east,2021-01-25,271.99102901524793,3506.257254373786,0.129,0.01
north west,2021-01-25,358.29311736125834,3748.0677535377067,0.129,0.01
yorkshire and the humber,2021-01-25,226.67771767484703,3473.253610279691,0.11599999999999999,0.009000000000000001
east midlands,2021-01-25,326.9486228909943,3676.8330711292647,0.109,0.005
west midlands,2021-01-25,392.6669146147892,3857.0201028406123,0.11900000000000001,0.008
east of england,2021-01-25,342.1224129548215,4193.489106604286,0.122,0.009000000000000001
london,2021-01-25,408.84253330856984,3802.1155929338643,0.075,0.006
south east,2021-01-25,311.06841346104295,3809.0583269549047,0.114,0.009000000000000001
south west,2021-01-25,223.31873580367724,4030.1555852974097,0.127,0.01
north east,2021-01-26,264.9496749179102,3490.4516616659316,0.133,0.01
north west,2021-01-26,335.5856457176733,3689.071916892016,0.133,0.01
yorkshire and the humber,2021-01-26,217.2100977527214,3487.9911146114455,0.121,0.009000000000000001
east midlands,2021-01-26,308.7101379507718,3605.09916607526,0.113,0.005
west midlands,2021-01-26,371.3997738807493,3779.7708372900274,0.12300000000000001,0.008
east of england,2021-01-26,323.58510293017787,4102.58252310108,0.126,0.009000000000000001
london,2021-01-26,377.24015849840623,3760.949195377989,0.078,0.006
south east,2021-01-26,289.48934418181534,3783.0310835155547,0.11800000000000001,0.009000000000000001
south west,2021-01-26,207.35342852307042,3959.894010271844,0.133,0.01
north east,2021-01-27,252.7396672810373,3463.6345896781986,0.13699999999999998,0.01
north west,2021-01-27,321.13295980654925,3621.0312325130676,0.138,0.01
yorkshire and the humber,2021-01-27,212.01290140391535,3570.6737837969954,0.126,0.009000000000000001
east midlands,2021-01-27,299.6322525893686,3532.0418335426007,0.11699999999999999,0.005
west midlands,2021-01-27,351.6830110766077,3716.8457156569802,0.127,0.008
east of england,2021-01-27,305.44868628842005,4093.93926176606,0.13,0.009000000000000001
london,2021-01-27,354.5686481337159,3624.853484947717,0.08199999999999999,0.006
south east,2021-01-27,272.9877029682883,3772.095084604815,0.12300000000000001,0.009000000000000001
south west,2021-01-27,199.29965992828767,4045.018610783587,0.138,0.01
north east,2021-01-28,246.59720945144483,3434.008466853762,0.142,0.01
north west,2021-01-28,310.7395579684836,3621.657833410251,0.145,0.01
yorkshire and the humber,2021-01-28,207.8878539522407,3566.3125001476474,0.132,0.009000000000000001
east midlands,2021-01-28,291.671009163081,3562.5220226603865,0.125,0.005
west midlands,2021-01-28,342.7009302436099,3723.7718605394607,0.132,0.008
east of england,2021-01-28,291.1768818576822,3973.1901748408295,0.13699999999999998,0.009000000000000001
london,2021-01-28,333.24121065198864,3674.984071070131,0.087,0.006999999999999999
south east,2021-01-28,258.5474107557936,3681.439125380468,0.129,0.009000000000000001
south west,2021-01-28,188.3657356770926,3958.987294602233,0.14400000000000002,0.01
north east,2021-01-29,243.0390783916199,3394.7941171733755,0.151,0.01
north west,2021-01-29,300.04647744046065,3569.6772024612883,0.155,0.01
yorkshire and the humber,2021-01-29,204.94398748893096,3540.2901743732064,0.141,0.009000000000000001
east midlands,2021-01-29,282.57244524732374,3523.542947703109,0.133,0.005
west midlands,2021-01-29,327.75326476730766,3673.1655026754975,0.142,0.008
east of england,2021-01-29,275.59014713107865,3886.3887395783754,0.146,0.009000000000000001
london,2021-01-29,308.88127815332825,3632.4291684698715,0.09300000000000001,0.006999999999999999
south east,2021-01-29,244.18306298017905,3631.9884477662304,0.138,0.009000000000000001
south west,2021-01-29,183.1032290456231,3965.938781402586,0.155,0.01
north east,2021-01-30,244.01288268167724,3396.5919097088663,0.16,0.01
north west,2021-01-30,293.56252033047474,3555.496951722853,0.16399999999999998,0.01
yorkshire and the humber,2021-01-30,202.9632378315189,3548.7765054742285,0.15,0.009000000000000001
east midlands,2021-01-30,276.5963430390196,3491.842723878436,0.14300000000000002,0.005
west midlands,2021-01-30,318.0802546394638,3580.8000523084033,0.151,0.008
