region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
metropolitana sud,2021-07-25,546.9432242729857,3509.4976395427475,63.92027775406742,50.47964228731262
terres de lebre,2021-07-25,288.9993609211784,2736.162246842781,65.74763738780773,54.40766442140744
alt pirineu-aran,2021-07-26,387.9483330112817,3562.8818169656797,64.270107168869,51.76806337975831
barcelona,2021-07-26,549.5884434665585,3350.853790105282,66.09198151228647,51.32395484009261
tarragona,2021-07-26,462.6652346467675,2883.2284263625434,62.68266888596856,51.118340655165554
catalunya central,2021-07-26,318.62061374793865,3451.6916875885977,63.1986549238176,50.0892858837215
girona,2021-07-26,420.8862632332003,3252.556126871621,60.92082069920267,48.26858740265482
lleida,2021-07-26,356.34559735427865,3479.12360479537,63.68637177897203,50.88797023563456
metropolitana nord,2021-07-26,486.69910656021653,3782.4667477664007,64.51104513925254,51.197211323886016
metropolitana sud,2021-07-26,512.5084901317493,3501.545550514369,64.38573030453583,50.80283269461279
terres de lebre,2021-07-26,275.4260054180311,2795.54567716905,66.05360344310785,54.763399446885764
alt pirineu-aran,2021-07-27,371.5980201257488,3597.068834817248,64.7130520088589,52.466667657594726
barcelona,2021-07-27,509.6108592582357,3292.275114278611,66.60336390407979,51.57698873718666
tarragona,2021-07-27,436.34940189046364,2907.7350456168515,63.603065136620295,51.241860595165456
catalunya central,2021-07-27,306.285688260377,3497.425795934788,63.74139164527032,50.39822832516382
girona,2021-07-27,399.30235229816435,3341.4447063137577,61.33752943128715,48.900903159025845
lleida,2021-07-27,335.95149510817146,3538.6523356758994,63.78751550227366,51.240457489320654
metropolitana nord,2021-07-27,454.8265083342061,3738.1572905169705,65.04301038452553,51.475001409846364
metropolitana sud,2021-07-27,481.7215032512371,3530.3627538740902,64.86635748360885,51.068461650138715
terres de lebre,2021-07-27,256.7626416012035,2779.710095748712,66.20573813603896,55.524638468020605
alt pirineu-aran,2021-07-28,338.8973943546829,3543.5587199191405,65.03262630616705,52.97798653328775
barcelona,2021-07-28,470.3418880639452,3235.113664480005,66.91249633145138,52.20818577943594
tarragona,2021-07-28,408.3888295868907,2933.7219304637015,64.17527002511517,51.87344058131674
catalunya central,2021-07-28,292.8121542662712,3543.1599042809785,64.2427589243186,50.90168305314076
girona,2021-07-28,361.8206144916235,3279.8261218701878,62.00477398976273,49.141807455268506
lleida,2021-07-28,321.89610031693536,3575.0310045473334,64.67107620228745,51.68361581920904
metropolitana nord,2021-07-28,423.65883329170924,3747.2205885907174,65.54924593360026,51.89317191263786
metropolitana sud,2021-07-28,447.6515438360732,3540.6494011493323,65.32582772856966,51.37538310465606
terres de lebre,2021-07-28,240.3615037015672,2680.172155392298,66.4766396896226,55.85831679080632
alt pirineu-aran,2021-07-29,332.9518260326709,3533.153975355619,65.28382656777205,53.694427516090194
barcelona,2021-07-29,436.91897423542133,3142.5215639797834,67.23591912127263,52.65431672285378
tarragona,2021-07-29,378.1256219171413,2930.4324513691636,64.3925401193094,52.53166534813379
catalunya central,2021-07-29,280.2874606942855,3554.925525515268,64.76082579479619,51.42563273423549
girona,2021-07-29,335.94312987596214,3330.5367083143315,62.55342308062751,49.66063361543273
lleida,2021-07-29,318.31335262505166,3511.6439299986223,65.44550089568692,52.18850764778834
metropolitana nord,2021-07-29,389.47005889129684,3681.058512652364,65.97104175562126,52.34971037727488
metropolitana sud,2021-07-29,416.71864706513196,3430.7062987111053,65.71394803711073,51.71535314935555
terres de lebre,2021-07-29,221.6981398847396,2725.416673736123,67.07669511415759,56.329990894540686
alt pirineu-aran,2021-07-30,309.169552744623,3397.892296029847,66.01513147137952,54.29938909285491
barcelona,2021-07-30,403.79131582941085,3013.0815867498814,67.59477256179548,53.08202372790678
tarragona,2021-07-30,351.9742631155644,2960.202237174732,65.16359401906911,52.75189597351312
catalunya central,2021-07-30,274.59441816156476,3557.39251061278,65.12062608286413,51.963625253577604
girona,2021-07-30,322.3661536426331,3223.429451362513,63.186203007126174,50.22471636304138
